id,picked_by
1,Tom
2,Tom
3,Tom
4,Tom
5,Tom
6,Tom
7,Tom
8,Tom
9,Tom
10,Tom
11,Tom
12,Tom
13,Tom
14,Tom
15,Tom
16,Tom
17,Tom
18,Tom
19,Tom
20,Tom
21,Tom
22,Tom
23,Tom
24,Tom
25,Tom
26,Tom
27,Tom
28,Warnes
29,Warnes
30,Warnes
31,Warnes
32,Warnes
33,Warnes
34,Warnes
35,Warnes
36,Warnes
37,Warnes
38,Warnes
39,Warnes
40,Warnes
41,Warnes
42,Warnes
43,Warnes
44,Warnes
45,Warnes
46,Warnes
47,Warnes
48,Warnes
49,Warnes
50,Warnes
51,Warnes
52,Warnes
53,Warnes
54,Warnes
55,Hodge
56,Hodge
57,Hodge
58,Hodge
59,Hodge
60,Hodge
61,Hodge
62,Hodge
63,Hodge
64,Hodge
65,Hodge
66,Hodge
67,Hodge
68,Hodge
69,Hodge
70,Hodge
71,Hodge
72,Hodge
73,Hodge
74,Hodge
75,Hodge
76,Hodge
77,Hodge
78,Hodge
79,Hodge
80,Hodge
81,Hodge
82,Luke
83,Luke
84,Luke
85,Luke
86,Luke
87,Luke
88,Luke
89,Luke
90,Luke
91,Luke
92,Luke
93,Luke
94,Luke
95,Luke
96,Luke
97,Luke
98,Luke
99,Luke
100,Luke
101,Luke
102,Luke
103,Luke
104,Luke
105,Luke
106,Luke
107,Luke
108,Luke
